,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party_x,Democrats_x,Republicans_x,Winning Party_y,Democrats_y,Republicans_y
10622,Ohio,39,1104380,19980,32.0,Republicans,False,True,Republicans,False,True
10623,Oklahoma,40,453552,7316,46.5,Republicans,False,True,Republicans,False,True
10624,South Carolina,45,593948,9752,42.0,Republicans,False,True,Republicans,False,True
10625,Utah,49,407489,2311,30.3,Republicans,False,True,Republicans,False,True
10626,Vermont,50,24252,256,16.7,Democrats,True,False,Democrats,True,False
10627,West Virginia,54,162232,2813,46.1,Republicans,False,True,Republicans,False,True
10628,Wisconsin,55,675363,7954,29.7,Republicans,False,True,Republicans,False,True
10629,Alaska,2,69886,352,26.2,Republicans,False,True,Republicans,False,True
10630,Arizona,4,883821,17700,33.0,Republicans,False,True,Republicans,False,True
10631,California,6,3795959,63120,22.9,Democrats,True,False,Democrats,True,False
10632,Connecticut,9,347891,8246,18.9,Democrats,True,False,Democrats,True,False
10633,District of Columbia,11,49068,1136,18.5,Democrats,True,False,Democrats,True,False
10634,Indiana,18,749890,13685,35.9,Republicans,False,True,Republicans,False,True
10635,Iowa,19,372029,6072,34.2,Republicans,False,True,Republicans,False,True
10636,Kansas,20,316626,5121,32.4,Republicans,False,True,Republicans,False,True
10637,Kentucky,21,461712,7140,43.4,Republicans,False,True,Republicans,False,True
10638,Maryland,24,460789,9645,28.0,Democrats,True,False,Democrats,True,False
10639,Minnesota,27,602779,7558,23.5,Democrats,True,False,Democrats,True,False
10640,Mississippi,28,318189,7325,49.7,Republicans,False,True,Republicans,False,True
10641,Nebraska,31,223912,2512,31.1,Republicans,False,True,Republicans,False,True
10642,New Jersey,34,1017904,26279,22.7,Democrats,True,False,Democrats,True,False
10643,New York,36,2104103,52885,23.1,Democrats,True,False,Democrats,True,False
10644,North Carolina,37,1005427,13168,42.1,Republicans,False,True,Republicans,False,True
10645,Ohio,39,1104648,19980,32.0,Republicans,False,True,Republicans,False,True
10646,Oklahoma,40,453552,7316,46.5,Republicans,False,True,Republicans,False,True
10647,South Carolina,45,594130,9754,42.0,Republicans,False,True,Republicans,False,True
10648,Utah,49,407712,2311,30.3,Republicans,False,True,Republicans,False,True
10649,Vermont,50,24252,256,16.7,Democrats,True,False,Democrats,True,False
10650,West Virginia,54,162232,2813,46.1,Republicans,False,True,Republicans,False,True
10651,Wisconsin,55,675363,7954,29.7,Republicans,False,True,Republicans,False,True
10652,Alaska,2,69937,352,26.2,Republicans,False,True,Republicans,False,True
10653,Arizona,4,884195,17700,33.0,Republicans,False,True,Republicans,False,True
10654,California,6,3797141,63132,22.9,Democrats,True,False,Democrats,True,False
10655,Connecticut,9,348088,8253,18.9,Democrats,True,False,Democrats,True,False
10656,District of Columbia,11,49110,1136,18.5,Democrats,True,False,Democrats,True,False
10657,Indiana,18,750418,13687,35.9,Republicans,False,True,Republicans,False,True
10658,Iowa,19,372064,6073,34.2,Republicans,False,True,Republicans,False,True
10659,Kansas,20,316840,5136,32.4,Republicans,False,True,Republicans,False,True
10660,Kentucky,21,461810,7146,43.4,Republicans,False,True,Republicans,False,True
10661,Maryland,24,460873,9649,28.0,Democrats,True,False,Democrats,True,False
10662,Minnesota,27,602973,7560,23.5,Democrats,True,False,Democrats,True,False
10663,Mississippi,28,318521,7333,49.7,Republicans,False,True,Republicans,False,True
